class,filepath
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP07_01\img66.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP08_05\img39.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP09_05f\img69.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP12_03f\img36.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP12_06\img76.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP13_04f\img69.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP13_06\img46.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP16_03f\img81.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP16_04f\img181.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP19_03\img29.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub06\EP01_01\img111.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub06\EP02_31\img131.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub06\EP10_08\img139.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub06\EP15_02\img79.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub06\EP16_05\img114.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub07\EP01_01\img109.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub07\EP03_04\img49.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub07\EP06_01\img49.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub07\EP06_02_01\img66.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub07\EP06_02_02\img81.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub07\EP08_02\img174.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub07\EP15_01\img64.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub07\EP18_01\img24.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub07\EP18_03\img54.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub08\EP12_07f\img74.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub08\EP12_08f\img106.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub08\EP13_01f\img86.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP02_01f\img74.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP05_02\img119.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP05_03\img116.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP05_05\img84.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP06_01f\img144.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP06_02f\img101.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP09_04\img71.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP09_05\img81.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP09f\img64.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP13_01\img74.jpg
fear,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP13_02\img96.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP15_05\img91.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP17_08\img41.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub09\EP18_03\img39.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP06_01f\img54.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP08_01f\img114.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP10_01f\img136.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP11_01\img64.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP11_01f\img64.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP12_02f\img54.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP12_03f\img81.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP12_04\img101.jpg
fear,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP13_01\img59.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP13_02f\img109.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP13_03f\img46.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP16_02f\img64.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP18_01f\img44.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub10\EP19_04f\img84.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub11\EP02_06f\img96.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub11\EP08_01f\img121.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub11\EP12_03f\img141.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub11\EP13_02f\img111.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub11\EP13_03f\img49.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub11\EP13_05f\img61.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub11\EP15_01f\img89.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub11\EP15_04f\img76.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub11\EP18_03f\img106.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub11\EP19_03f\img94.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub12\EP01_02\img99.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub12\EP02_05\img61.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub12\EP03_02\img59.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub12\EP03_04\img129.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub12\EP04_16\img56.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub12\EP06_06\img76.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub12\EP08_01\img81.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub12\EP08_03\img114.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub12\EP08_07\img134.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub12\EP09_02\img59.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub12\EP09_06\img111.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub12\EP16_02\img189.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub13\EP01_01\img111.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub13\EP01_02\img101.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub13\EP02_02\img34.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub13\EP02_03\img59.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub13\EP03_01\img86.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub13\EP08_01\img81.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub13\EP09_10\img76.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub13\EP12_01\img41.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub14\EP04_04f\img44.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub14\EP09_03\img29.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub14\EP09_04\img71.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub14\EP09_06\img59.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub15\EP03_02\img49.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub15\EP04_02\img46.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub15\EP08_02\img54.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub16\EP01_05\img106.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub16\EP01_08\img94.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub16\EP01_09f\img76.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub16\EP04_02f\img269.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP01_06\img86.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP01_13\img134.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP01_15\img101.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP02_01\img119.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP02_03\img109.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP02_11\img181.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP02_18f\img134.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP03_02\img139.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP03_09\img132.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP05_02\img91.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP05_03\img56.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP05_03f\img59.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP05_04\img39.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP05_09\img144.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP05_10\img129.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP06_04\img91.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP06_07\img225.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP06_08\img194.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP07_01\img71.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP08_02\img66.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP08_03\img69.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP10_06\img121.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP11_01\img31.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP11_02\img81.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP12_03\img156.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP13_01\img164.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP13_03\img79.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP13_04\img104.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP13_06\img109.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP13_09\img46.jpg
sadness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP15_01\img104.jpg
sadness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP15_03\img338.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP15_04\img131.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP15_05\img49.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP16_01f\img29.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub17\EP18_07\img69.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub18\EP08_01\img139.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub18\EP18_01\img91.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub18\EP19_01\img121.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP01_01f\img189.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP01_02f\img61.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP02_01\img119.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP06_01f\img174.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP06_02f\img264.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP08_02\img119.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP11_01f\img81.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP11_04f\img96.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP13_01\img104.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP15_03f\img81.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP16_01\img109.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP16_02\img79.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP19_01\img86.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP19_02\img129.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP19_03\img91.jpg
sadness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub19\EP19_04\img69.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub20\EP01_03\img101.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub20\EP03_02\img74.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub20\EP06_03\img49.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub20\EP07_04\img116.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub20\EP10_02\img166.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub20\EP12_01\img104.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub20\EP13_02\img109.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub20\EP15_03f\img129.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub20\EP16_01\img111.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub20\EP16_04\img106.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub20\EP18_03\img90.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub21\EP01_07\img21.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub21\EP05_02\img141.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub22\EP01_12\img119.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub22\EP13_08\img216.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub23\EP02_01\img86.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub23\EP03_14f\img91.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub23\EP04_03f\img91.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub23\EP05_24f\img141.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub23\EP05_25f\img86.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub23\EP07_01\img64.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub23\EP12_02f\img84.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub23\EP12_03\img129.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub23\EP13_03\img56.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub23\EP13_04\img41.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub23\EP13_07f\img64.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub23\EP17_01\img114.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub24\EP01_08\img69.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub24\EP02_02f\img94.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub24\EP07_01\img41.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub24\EP07_04f\img24.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub24\EP08_02\img156.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub24\EP10_01f\img149.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub24\EP10_02\img121.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub24\EP10_03\img356.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub24\EP12_01\img99.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub24\EP18_03\img76.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub25\EP03_01\img81.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub25\EP03_02\img101.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub25\EP09_02\img101.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub25\EP10_01\img129.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub25\EP10_10\img91.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub25\EP12_01\img151.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub25\EP18_04f\img116.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub26\EP03_10\img149.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub26\EP07_28\img51.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub26\EP07_37\img119.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub26\EP08_04\img79.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub26\EP09_04\img56.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub26\EP09_09\img76.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub26\EP13_01\img29.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub26\EP13_02\img54.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub26\EP13_11\img59.jpg
sadness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub26\EP15_01\img61.jpg
